Parliament,Elected,Dissolved
First,30.3.1901,23.11.1903
Second,16.12.1903,5.11.1906
Third,12.12.1906,19.2.1910
Fourth,13.4.1910,23.4.1913
Fifth,31.5.1913,30.7.1914
Sixth,5.9.1914,26.3.1917
Seventh,5.5.1917,3.11.1919
Eighth,13.12.1919,6.11.1922
Ninth,16.12.1922,3.10.1925
Tenth,14.11.1925,9.10.1928
Eleventh,17.11.1928,16.9.1929
Twelfth,12.10.1929,27.11.1931
Thirteenth,19.12.1931,7.8.1934
Fourteenth,15.9.1934,21.9.1937
Fifteenth,23.10.1937,27.8.1940
Sixteenth,21.9.1940,7.7.1943
Seventeenth,21.8.1943,16.8.1946
Eighteenth,28.9.1946,31.10.1949
Nineteenth,10.12.1949,19.3.1951
Twentieth,28.4.1951,21.4.1954
Twenty-first,29.5.1954,4.11.1955
Twenty-second,10.12.1955,14.10.1958
Twenty-third,22.11.1958,2.11.1961
Twenty-fourth,9.12.1961,1.11.1963
Twenty-fifth,30.11.1963,31.10.1966
Twenty-sixth,26.11.1966,29.9.1969
Twenty-seventh,25.10.1969,2.11.1972
Twenty-eighth,2.12.1972,11.4.1974
Twenty-ninth,18.5.1974,11.11.1975
Thirtieth,13.12.1975,10.11.1977
Thirty-first,10.12.1977,19.9.1980
Thirty-second,18.10.1980,4.2.1983
Thirty-third,5.3.1983,26.10.1984
Thirty-fourth,1.12.1984,5.6.1987
Thirty-fifth,11.7.1987,19.2.1990
Thirty-sixth,24.3.1990,8.2.1993
Thirty-seventh,13.3.1993,29.1.1996
Thirty-eighth,2.3.1996,31.8.1998
Thirty-ninth,3.10.1998,8.10.2001
Fortieth,10.11.2001,31.8.2004
Forty-first,9.10.2004,17.10.2007
Forty-second,24.11.2007,19.7.2010
Forty-third,21.8.2010,5.8.2013
Forty-fourth,7.9.2013,9.5.2016
Forty-fifth,2.7.2016,
